Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
MT3608 Adjustable Step-Up Boost DC-DC Converter 2AMT3608 Adjustable Step-Up Boost DC-DC Converter 2A,To make the voltage stable for the ESP32,1,0.38,https://tk.tokopedia.com/ZSH5dT5a6/,Tokopedia
TP4056 5V USB TYPE-C 1A LITHIUM BATTERY CHARGING + PROTECTION MODULE,To charge the baterry,1,0.35,https://tk.tokopedia.com/ZSH5dtMDR/,Tokopedia
Battery Holder 2 socket,to hold your battery,1,0.53,https://tk.tokopedia.com/ZSH5dCSGG/,Tokopedia
baterai 18650 3000mah 3.7v Grade A+ rechargeable lithium Li-ion ori - +positif,As the power supply,2,1,https://tk.tokopedia.com/ZSH5ecHuw/,Tokopedia
Push button ,Control,3,0.09,https://tk.tokopedia.com/ZSHP7AYEY/,Tokopedia
MicroSD card Module,As the storage,1,0.76,https://tk.tokopedia.com/ZSHPWwmFS/,Tokopedia
Socket Mini Stereo 3.5mm,As Audio output,5,1.1,https://tk.tokopedia.com/ZSHPWr8gk/,Tokopedia
"OLED 0,96"" WHITE 4PIN SSD1306 CHIP",As Display,1,1.7,https://tk.tokopedia.com/ZSHPn7gtQ/,Tokopedia
MAX98357 I2S 3W Class D Amplifier DAC Decoder Module MAX98357A,To convert digital to analog signal,1,2.18,https://tk.tokopedia.com/ZSHyofRMn/,Tokopedia
ESP32 ESP-32 DEVKITC V4 WROOM-32U WIFI BLUETOOTH DEVELOPMENT BOARD | Board + Cable,As the processor,1,4.85,https://tk.tokopedia.com/ZSHyEDn7B/,Tokopedia
